role,haidt,path
Agent,Care,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#FinderKeeper', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Keeper', 'https://w3id.org/framester/data/framestercore/Defend', 'https://w3id.org/spice/SON/HaidtValues#Care']"
Agent,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#NotedChildKidnapper', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#ChildKidnapper', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Kidnapper', 'https://w3id.org/framester/data/framestercore/Kidnapping', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Patient,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Crush', 'https://w3id.org/framester/data/framestercore/CauseHarm', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Patient,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Crush', 'https://w3id.org/framester/data/framestercore/ExperienceBodilyHarm', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Patient,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Ruin', 'https://w3id.org/framester/data/framestercore/Destroying', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Patient,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Face', 'https://w3id.org/framester/data/framestercore/HostileEncounter', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Patient,Care,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Treat', 'https://w3id.org/framester/data/framestercore/Assistance', 'https://w3id.org/spice/SON/HaidtValues#Care']"
Patient,Oppression,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Tie', 'https://w3id.org/framester/data/framestercore/InhibitMovement', 'https://w3id.org/spice/SON/HaidtValues#Oppression']"
Patient,Care,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Gate', 'https://w3id.org/framester/data/framestercore/Supply', 'https://w3id.org/spice/SON/HaidtValues#Care']"
Patient,Fairness,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Sympathy', 'https://w3id.org/framester/data/framestercore/Inclination', 'https://w3id.org/spice/SON/HaidtValues#Fairness']"
Patient,Care,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Massage', 'https://w3id.org/framester/data/framestercore/Cure', 'https://w3id.org/spice/SON/HaidtValues#Care']"
Patient,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Knee', 'https://w3id.org/framester/data/framestercore/CauseHarm', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Patient,Care,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Equipment', 'https://w3id.org/framester/data/framestercore/Supply', 'https://w3id.org/spice/SON/HaidtValues#Care']"
Patient,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Incident', 'https://w3id.org/framester/data/framestercore/Catastrophe', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Patient,Fairness,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Preference', 'https://w3id.org/framester/data/framestercore/Inclination', 'https://w3id.org/spice/SON/HaidtValues#Fairness']"
Patient,Fairness,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#SociopathicTendency', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Tendency', 'https://w3id.org/framester/data/framestercore/Inclination', 'https://w3id.org/spice/SON/HaidtValues#Fairness']"
Theme,Care,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Give', 'https://w3id.org/framester/data/framestercore/Supply', 'https://w3id.org/spice/SON/HaidtValues#Care']"
Theme,Care,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Ticket', 'https://w3id.org/framester/data/framestercore/Supply', 'https://w3id.org/spice/SON/HaidtValues#Care']"
Theme,Betrayal,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Confess', 'https://w3id.org/framester/data/framestercore/RevealSecret', 'https://w3id.org/spice/SON/HaidtValues#Betrayal']"
Theme,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Lose', 'https://w3id.org/framester/data/framestercore/Attack', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Theme,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Cut', 'https://w3id.org/framester/data/framestercore/CauseHarm', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Theme,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Cut', 'https://w3id.org/framester/data/framestercore/ExperienceBodilyHarm', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Theme,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Hurt', 'https://w3id.org/framester/data/framestercore/CauseHarm', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Theme,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Hurt', 'https://w3id.org/framester/data/framestercore/ExperienceBodilyHarm', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Theme,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Destroy', 'https://w3id.org/framester/data/framestercore/Destroying', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Theme,Betrayal,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Admit', 'https://w3id.org/framester/data/framestercore/RevealSecret', 'https://w3id.org/spice/SON/HaidtValues#Betrayal']"
